epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,63.1962,1.06229,0.76847,1.26403,1,0.98523,0.995,0.58819,1.49357,1.00397,1.94207,0.000329225,0.000329225,0.000329225
71,64.0518,1.17784,0.92052,1.28214,1,0.98523,0.995,0.58819,1.49357,1.00397,1.94207,0.00032675,0.00032675,0.00032675
72,64.9251,0.83171,0.86194,1.18761,1,0.98523,0.995,0.58819,1.49357,1.00397,1.94207,0.000324275,0.000324275,0.000324275
73,65.7807,0.88662,0.93535,1.19622,1,0.98523,0.995,0.58819,1.49357,1.00397,1.94207,0.0003218,0.0003218,0.0003218
74,66.8198,0.82665,0.72035,1.13603,0.73121,1,0.895,0.53473,1.51388,1.04094,2.02988,0.000319325,0.000319325,0.000319325
75,67.6755,1.04292,0.94438,1.32699,0.73121,1,0.895,0.53473,1.51388,1.04094,2.02988,0.00031685,0.00031685,0.00031685
76,68.5386,0.9082,0.73431,1.1831,0.73121,1,0.895,0.53473,1.51388,1.04094,2.02988,0.000314375,0.000314375,0.000314375
77,69.3975,1.102,0.80731,1.29352,0.73121,1,0.895,0.53473,1.51388,1.04094,2.02988,0.0003119,0.0003119,0.0003119
78,70.2818,0.95482,0.79006,1.2474,0.56009,1,0.56857,0.35947,1.53777,1.20193,1.92813,0.000309425,0.000309425,0.000309425
79,71.1251,0.85176,0.64139,1.04589,0.56009,1,0.56857,0.35947,1.53777,1.20193,1.92813,0.00030695,0.00030695,0.00030695
80,71.972,0.86789,0.67302,1.15046,0.56009,1,0.56857,0.35947,1.53777,1.20193,1.92813,0.000304475,0.000304475,0.000304475
81,72.8144,0.8383,0.66482,1.07381,0.56009,1,0.56857,0.35947,1.53777,1.20193,1.92813,0.000302,0.000302,0.000302
82,73.8303,0.98679,0.79502,1.26277,0.90131,1,0.995,0.70896,1.12414,0.87032,1.4347,0.000299525,0.000299525,0.000299525
83,74.7881,0.82878,0.63937,1.12838,0.90131,1,0.995,0.70896,1.12414,0.87032,1.4347,0.00029705,0.00029705,0.00029705
84,75.7555,0.9854,0.7624,1.27594,0.90131,1,0.995,0.70896,1.12414,0.87032,1.4347,0.000294575,0.000294575,0.000294575
85,76.7138,0.84585,0.66996,1.09462,0.90131,1,0.995,0.70896,1.12414,0.87032,1.4347,0.0002921,0.0002921,0.0002921
86,77.7151,1.06485,0.61723,1.19033,0.98671,1,0.995,0.68861,1.34603,0.75631,1.7812,0.000289625,0.000289625,0.000289625
87,78.5668,0.95697,0.59561,1.22712,0.98671,1,0.995,0.68861,1.34603,0.75631,1.7812,0.00028715,0.00028715,0.00028715
88,79.423,1.0313,0.61414,1.26273,0.98671,1,0.995,0.68861,1.34603,0.75631,1.7812,0.000284675,0.000284675,0.000284675
89,80.2807,0.99229,0.58947,1.19352,0.98671,1,0.995,0.68861,1.34603,0.75631,1.7812,0.0002822,0.0002822,0.0002822
90,81.3125,0.83001,0.67847,1.11612,0.98768,1,0.995,0.66407,1.30777,0.72081,1.68397,0.000279725,0.000279725,0.000279725
91,82.166,0.85463,0.57589,1.2624,0.98768,1,0.995,0.66407,1.30777,0.72081,1.68397,0.00027725,0.00027725,0.00027725
92,83.0167,0.89658,0.73884,1.24559,0.98768,1,0.995,0.66407,1.30777,0.72081,1.68397,0.000274775,0.000274775,0.000274775
93,83.8681,0.8306,0.57048,0.99164,0.98768,1,0.995,0.66407,1.30777,0.72081,1.68397,0.0002723,0.0002723,0.0002723
94,84.7485,0.8309,0.5509,1.04652,0.98837,1,0.995,0.70939,1.11585,0.60684,1.38749,0.000269825,0.000269825,0.000269825
95,85.7156,0.7698,0.54092,1.04894,0.98837,1,0.995,0.70939,1.11585,0.60684,1.38749,0.00026735,0.00026735,0.00026735
96,86.6829,0.92866,0.68093,1.13691,0.98837,1,0.995,0.70939,1.11585,0.60684,1.38749,0.000264875,0.000264875,0.000264875
97,87.6532,0.84722,0.55816,1.22481,0.98837,1,0.995,0.70939,1.11585,0.60684,1.38749,0.0002624,0.0002624,0.0002624
98,88.6574,0.81406,0.66612,1.06956,0.98869,1,0.995,0.67351,1.18848,0.65413,1.4353,0.000259925,0.000259925,0.000259925
99,89.6479,0.75602,0.57707,1.11126,0.98869,1,0.995,0.67351,1.18848,0.65413,1.4353,0.00025745,0.00025745,0.00025745
100,90.5064,0.70313,0.57474,1.05441,0.98869,1,0.995,0.67351,1.18848,0.65413,1.4353,0.000254975,0.000254975,0.000254975
101,91.3528,0.74367,0.5331,1.06327,0.98869,1,0.995,0.67351,1.18848,0.65413,1.4353,0.0002525,0.0002525,0.0002525
102,92.2437,0.73679,0.5172,0.99731,0.98929,1,0.995,0.67423,1.20429,0.68872,1.46837,0.000250025,0.000250025,0.000250025
103,93.0938,0.7042,0.54572,1.07495,0.98929,1,0.995,0.67423,1.20429,0.68872,1.46837,0.00024755,0.00024755,0.00024755
104,93.9422,0.78337,0.57683,1.06076,0.98929,1,0.995,0.67423,1.20429,0.68872,1.46837,0.000245075,0.000245075,0.000245075
105,94.7861,0.77919,0.4881,0.98644,0.98929,1,0.995,0.67423,1.20429,0.68872,1.46837,0.0002426,0.0002426,0.0002426
106,95.8237,1.11276,0.84828,1.45422,0.98954,1,0.995,0.63307,1.47341,0.75158,1.81373,0.000240125,0.000240125,0.000240125
107,96.6701,0.76553,0.55958,1.02064,0.98954,1,0.995,0.63307,1.47341,0.75158,1.81373,0.00023765,0.00023765,0.00023765
108,97.5152,0.82091,0.55614,1.10167,0.98954,1,0.995,0.63307,1.47341,0.75158,1.81373,0.000235175,0.000235175,0.000235175
